WD22CD_proposed,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
E05013714,255,275,260,295,280,275,275,265,245,255,245,220,235,265,285,305,305,305,305,290,290,295,285,290,315,335,335,325,310,325,300,280,290,310,325,360,355,365,375,385,395,405,410,425,435,440,450,465,455,480,495,630,910,910,925,945,955,950,945,945,935,990,1000,985,955,885,860,850,825
E05013715,235,245,245,255,250,255,255,275,275,255,255,250,260,255,275,280,270,280,260,270,270,270,270,255,255,240,235,255,235,240,215,225,230,235,240,255,265,270,305,300,305,320,335,335,350,345,345,345,350,370,385,610,875,840,850,855,880,875,910,910,920,915,940,945,870,830,795,760,750
E05013716,360,370,370,380,370,380,360,355,360,350,340,345,365,350,375,385,400,400,385,390,395,390,380,380,390,390,395,405,395,395,390,385,425,435,450,460,465,485,510,500,505,540,550,540,555,545,540,535,530,565,550,925,1445,1400,1465,1570,1580,1525,1555,1555,1525,1565,1605,1555,1485,1375,1320,1265,1235
E05013717,260,255,255,250,235,210,235,245,255,255,240,235,245,250,250,270,265,255,270,240,250,245,235,230,240,250,250,260,245,245,225,215,215,235,240,275,285,290,305,315,320,330,335,325,355,350,360,375,390,405,410,615,965,935,970,990,1025,1005,1025,1020,1005,1045,1065,1080,1025,945,900,865,820
E05013718,220,225,235,240,240,220,220,215,200,205,190,180,200,210,220,205,185,190,190,175,175,195,205,180,190,195,200,215,215,200,190,185,205,215,215,215,235,255,265,270,265,280,290,305,300,320,305,305,305,305,290,540,830,825,820,865,860,815,850,840,810,860,875,835,805,730,690,655,645
E05013719,345,350,360,390,375,355,365,340,355,325,325,320,330,325,305,335,335,335,350,335,325,330,340,345,365,380,390,395,400,400,415,440,415,430,440,455,455,455,485,500,495,515,525,515,530,525,570,545,555,535,555,870,1240,1225,1270,1280,1325,1285,1320,1320,1305,1330,1330,1340,1305,1210,1145,1080,1050
E05013720,290,300,310,310,310,315,320,330,310,295,295,275,300,290,300,305,310,325,320,305,285,275,280,285,275,315,315,305,315,320,330,320,330,365,360,390,390,425,420,440,440,480,475,495,525,525,520,510,495,485,520,760,1245,1185,1240,1250,1280,1235,1250,1270,1240,1320,1320,1270,1250,1145,1105,1105,1075
E05013721,210,220,230,225,225,220,220,225,215,210,220,215,220,215,210,235,245,240,240,240,255,255,235,235,235,230,235,240,255,255,270,250,255,270,270,285,300,315,315,330,315,325,340,335,325,335,335,325,325,325,335,530,795,800,810,830,865,865,885,900,910,975,985,965,940,860,820,780,755
E05013722,245,245,245,240,245,240,245,240,250,240,225,225,230,225,225,245,260,255,255,255,265,260,255,255,270,265,270,285,265,270,260,270,260,290,295,300,315,370,370,385,395,400,395,420,415,445,440,475,465,450,460,705,990,945,940,990,1000,965,1015,995,975,1035,1045,1030,980,895,885,855,810
E05013723,265,270,275,285,270,265,275,270,265,250,250,225,215,235,225,210,200,220,215,205,215,215,215,195,210,210,225,225,225,235,215,245,225,215,210,225,235,265,280,295,300,305,305,320,340,350,355,355,355,380,355,585,850,825,840,870,865,850,865,880,850,920,915,905,820,780,750,725,720
E05013724,340,345,375,360,375,355,365,365,385,395,385,365,380,380,390,415,430,415,390,395,395,415,400,400,400,415,410,410,440,420,415,410,440,450,465,510,520,545,555,585,590,600,655,695,675,675,705,720,720,735,755,1010,1450,1445,1500,1550,1575,1565,1585,1580,1585,1655,1610,1610,1525,1450,1385,1325,1250
E05013725,195,210,190,185,180,170,185,205,180,190,180,180,190,195,200,200,205,205,205,215,220,210,205,205,190,200,195,180,190,190,190,195,190,195,205,215,230,240,245,250,255,290,290,290,300,310,325,325,320,345,345,510,680,695,720,720,750,760,790,815,780,825,810,800,765,725,720,695,680
E05013726,195,190,200,190,195,200,205,190,215,215,205,205,215,210,210,205,205,220,195,195,210,185,195,190,180,190,200,225,210,185,190,180,185,205,200,205,205,210,220,220,230,230,235,250,245,240,250,250,235,235,250,430,685,685,680,715,730,695,760,770,775,830,825,785,720,680,670,660,645
E05013727,110,110,110,115,115,115,110,100,125,120,120,110,100,95,105,120,130,130,125,110,105,105,105,100,110,115,120,120,120,105,95,110,125,135,140,150,160,180,195,190,185,200,190,200,200,205,215,210,205,190,200,315,520,500,495,530,550,540,585,575,550,570,590,590,550,505,500,480,465
E05013728,215,235,230,220,215,210,220,225,225,240,240,240,235,250,255,260,240,245,260,250,250,260,255,255,255,270,260,285,285,275,275,275,280,295,285,300,290,310,315,305,315,320,330,335,355,350,365,360,350,355,360,570,800,795,815,860,855,860,905,905,885,945,910,915,860,785,745,700,680
E05013729,315,325,340,340,345,320,310,325,330,310,310,315,325,350,350,355,335,330,325,335,340,320,320,330,335,330,315,315,320,325,325,325,330,345,360,385,370,420,440,445,470,510,520,505,520,510,480,475,470,470,490,755,1150,1150,1165,1180,1215,1165,1205,1195,1190,1210,1230,1205,1125,1075,1080,1060,1010
E05013730,445,435,440,435,435,440,445,420,415,400,405,400,400,420,440,465,470,455,440,430,445,435,435,445,435,450,470,470,440,425,410,410,435,455,470,510,510,540,555,575,620,650,635,645,680,665,670,665,655,700,730,1020,1455,1455,1480,1505,1525,1475,1565,1515,1520,1600,1565,1555,1520,1435,1420,1365,1305
E05013731,310,320,335,325,325,355,345,350,355,335,335,310,325,325,310,330,300,305,315,320,305,305,310,320,330,340,345,340,340,330,325,345,365,390,380,395,405,425,405,415,425,425,425,430,425,470,460,460,450,495,485,695,1010,995,980,1040,1060,1025,1050,1010,985,1055,1050,1025,985,910,915,895,865
E05013732,295,295,300,280,295,295,285,290,305,300,285,285,265,280,295,285,295,310,295,300,300,300,280,270,295,310,305,310,320,325,325,345,345,360,370,370,380,410,390,415,410,435,425,425,435,425,420,430,430,455,465,770,1115,1125,1150,1210,1195,1200,1250,1265,1250,1285,1275,1250,1195,1110,1090,1015,1000
