regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000653,Silwood & Pepys,msoa,2021-12-19,58.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000654,Deptford North,msoa,2021-12-19,54.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000655,New Cross Gate,msoa,2021-12-19,55.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000657,New Cross South,msoa,2021-12-19,56.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000658,Telegraph Hill,msoa,2021-12-19,61.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000659,Blackheath West,msoa,2021-12-19,61.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000660,Brockley East & St Johns,msoa,2021-12-19,61.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000661,Blackheath Village,msoa,2021-12-19,67.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000662,Brockley West,msoa,2021-12-19,56.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000663,Loampit & Hilly Fields,msoa,2021-12-19,63.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000664,Lewisham Central & Park,msoa,2021-12-19,56.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000665,Manor House,msoa,2021-12-19,64.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000666,Ladywell,msoa,2021-12-19,65.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000667,Crofton Park,msoa,2021-12-19,68.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000668,Lee,msoa,2021-12-19,68.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000669,Hither Green,msoa,2021-12-19,63.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000670,Catford East & Mountsfield Park,msoa,2021-12-19,55.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000671,Honor Oak,msoa,2021-12-19,68.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000672,Catford Bridge,msoa,2021-12-19,60.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000673,Forest Hill West,msoa,2021-12-19,69.2
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000674,Corbett Estate,msoa,2021-12-19,61.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000675,Grove Park & Lee South,msoa,2021-12-19,65.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000676,Forest Hill East,msoa,2021-12-19,67.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000677,Culverley Green,msoa,2021-12-19,60.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000678,Further Green,msoa,2021-12-19,57.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000679,Perry Vale,msoa,2021-12-19,65.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000680,Upper Sydenham,msoa,2021-12-19,63.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000681,Bellingham & Perry Hill,msoa,2021-12-19,58.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000682,Forster Park & Southend,msoa,2021-12-19,55.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000683,Chinbrook,msoa,2021-12-19,58.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000685,Sydenham Wells,msoa,2021-12-19,62.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000686,Beckenham Hill,msoa,2021-12-19,53.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000687,Lower Sydenham,msoa,2021-12-19,64.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006783,Downham East,msoa,2021-12-19,55.8
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006784,Downham West,msoa,2021-12-19,60.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006798,New Cross & Deptford South,msoa,2021-12-19,55.5
