WD22CD_proposed,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E05013714,7801,2099,1249,1198,136,785,1653,681
E05013715,12669,1764,954,1324,119,1104,6510,894
E05013716,14138,1576,1123,1379,104,1925,6819,1212
E05013717,12630,2493,1740,1870,247,1365,3888,1027
E05013718,12019,1834,1143,1400,157,1242,5418,825
E05013719,11455,2158,1277,1417,134,1493,3699,1277
E05013720,12531,3799,1923,1900,263,1238,2478,930
E05013721,8597,1509,926,1054,87,894,3108,1019
E05013722,11717,1633,1142,1307,144,1177,5438,876
E05013723,11850,2694,1627,1650,242,1291,3446,900
E05013724,14928,2742,1841,1977,231,1644,5277,1216
E05013725,13108,1856,1326,1487,186,1418,5588,1247
E05013726,11759,1718,1116,1325,169,1172,5424,835
E05013727,3243,473,281,355,38,260,1509,327
E05013728,6615,1254,697,769,74,769,2308,744
E05013729,14393,2397,1565,1887,233,1502,5769,1040
E05013730,13210,2391,1588,1796,255,1468,4382,1330
E05013731,12878,2470,1496,1672,200,1339,4643,1058
E05013732,13208,1903,1211,1481,141,1608,5770,1094
