LSOA11CD,Jobseekers Allowance
E01003189,7.0
E01003190,5.0
E01003191,0.0
E01003192,12.0
E01003193,5.0
E01003194,0.0
E01003195,0.0
E01003196,0.0
E01003197,7.0
E01003198,5.0
E01003199,0.0
E01003200,0.0
E01003201,16.0
E01003202,5.0
E01003203,11.0
E01003204,0.0
E01003205,5.0
E01003206,0.0
E01003207,6.0
E01003209,0.0
E01003210,6.0
E01003211,5.0
E01003212,5.0
E01003213,0.0
E01003214,0.0
E01003215,0.0
E01003216,0.0
E01003217,0.0
E01003218,6.0
E01003219,13.0
E01003220,0.0
E01003221,6.0
E01003222,0.0
E01003223,0.0
E01003224,5.0
E01003225,0.0
E01003226,5.0
E01003227,7.0
E01003228,0.0
E01003229,0.0
E01003230,6.0
E01003231,0.0
E01003232,0.0
E01003233,5.0
E01003235,0.0
E01003236,6.0
E01003237,11.0
E01003238,0.0
E01003239,5.0
E01003240,6.0
E01003241,6.0
E01003243,0.0
E01003244,5.0
E01003245,11.0
E01003246,12.0
E01003247,6.0
E01003248,12.0
E01003249,12.0
E01003250,19.0
E01003251,0.0
E01003252,6.0
E01003253,10.0
E01003254,0.0
E01003255,6.0
E01003256,17.0
E01003257,5.0
E01003258,0.0
E01003259,0.0
E01003260,5.0
E01003261,0.0
E01003262,0.0
E01003263,5.0
E01003264,0.0
E01003265,0.0
E01003266,0.0
E01003267,5.0
E01003268,0.0
E01003269,0.0
E01003270,0.0
E01003271,0.0
E01003272,0.0
E01003273,5.0
E01003274,0.0
E01003275,0.0
E01003276,5.0
E01003277,0.0
E01003278,0.0
E01003279,8.0
E01003280,6.0
E01003281,0.0
E01003282,0.0
E01003283,0.0
E01003284,5.0
E01003285,0.0
E01003286,6.0
E01003287,0.0
E01003288,0.0
E01003290,0.0
E01003291,11.0
E01003292,5.0
E01003293,0.0
E01003295,13.0
E01003296,14.0
E01003297,0.0
E01003298,0.0
E01003299,0.0
E01003300,0.0
E01003301,5.0
E01003302,0.0
E01003303,0.0
E01003304,6.0
E01003305,0.0
E01003307,0.0
E01003308,5.0
E01003309,6.0
E01003310,5.0
E01003311,0.0
E01003312,6.0
E01003313,7.0
E01003314,0.0
E01003315,6.0
E01003316,0.0
E01003317,6.0
E01003318,0.0
E01003319,0.0
E01003320,0.0
E01003321,0.0
E01003322,0.0
E01003323,5.0
E01003324,12.0
E01003325,0.0
E01003326,0.0
E01003327,0.0
E01003328,6.0
E01003329,0.0
E01003330,7.0
E01003331,0.0
E01003332,0.0
E01003333,0.0
E01003334,7.0
E01003335,0.0
E01003336,0.0
E01003337,0.0
E01003338,6.0
E01003339,5.0
E01003340,0.0
E01003341,0.0
E01003342,0.0
E01003343,0.0
E01003344,5.0
E01003345,6.0
E01003346,12.0
E01003347,0.0
E01003348,0.0
E01003349,11.0
E01003350,8.0
E01003351,0.0
E01003352,13.0
E01003353,0.0
E01003354,0.0
E01032564,0.0
E01032565,0.0
E01032579,6.0
E01033320,0.0
E01033322,7.0
E01033324,0.0
E01033325,6.0
E01033327,10.0
E01033341,0.0
