WD22CD_proposed,UK language,European Language (EU),European Language (non EU),European Language (non-national),West/Central Asian Language,South Asian Language,East Asian Language,Oceanic/Australian language (any),North/South American language (any),Caribbean Creole,African Language,Other Languages,Sign Language
E05013714,87.07881920286253,4.691382566345295,0.5069078620415466,0.0,2.514660570519829,2.5742967895835402,0.9740582447072857,0.0,0.0,0.0,1.480966106748832,0.08945432859556704,0.08945432859556704
E05013715,85.67660783120309,6.796510448366808,0.8520998174071819,0.0,1.6974369378508147,1.7447758165956584,1.9611821194292283,0.0,0.0,0.0,1.149658483803341,0.09467775748968689,0.027050787854196255
E05013716,83.01696411679383,9.554140127388536,0.41621996594563915,0.0,1.809926215551491,1.4315444283281833,2.3144352651825697,0.0,0.0,0.02522545248155389,1.267578987198083,0.10090180992621556,0.06306363120388472
E05013717,85.08777612230355,5.000971691390814,0.5635810066722808,0.0,2.630044697803977,4.288398004793677,0.9652134482088489,0.0,0.0,0.019433827816285547,1.2826326358748463,0.0842132538705707,0.07773531126514219
E05013718,86.40989399293287,7.540636042402828,0.28975265017667845,0.0,1.7879858657243817,1.7314487632508835,1.1802120141342758,0.007067137809187279,0.0,0.028268551236749116,0.8692579505300356,0.0706713780918728,0.08480565371024734
E05013719,74.31539187913127,9.871431684462847,0.7191109174112008,0.0,2.9345536427689405,2.229970218638774,6.5010532432628745,0.0,0.0,0.014527493281034358,3.239631001670661,0.13801118616982638,0.03631873320258589
E05013720,88.53698150924536,4.035482258870565,0.3435782108945527,0.0,2.0802098950524743,2.8923038480759624,0.6434282858570716,0.0,0.0,0.00624687656171914,1.3055972013993005,0.08120939530234883,0.07496251874062969
E05013721,73.30841479777649,11.778800076672416,0.7858922752539774,0.009584052137243627,2.923135901859306,1.7347134368410964,5.376653248993674,0.0,0.0,0.009584052137243627,3.8911251677209124,0.13417672992141078,0.04792026068621813
E05013722,85.2939085933613,8.09581349065321,0.6041651858696425,0.0,1.5992607861255241,1.2723008031843062,1.4784277489515958,0.0,0.0,0.0,1.54950600611273,0.021323477148340323,0.08529390859336129
E05013723,86.36809643958509,5.761143818334736,0.5186431174656575,0.0,2.3198766470423324,2.775441547518924,0.8410428931875525,0.0,0.0,0.0,1.3106251752172695,0.06307821698906645,0.04205214465937763
E05013724,84.25421958326461,6.113585133872121,0.4563197536972896,0.00549782835779867,2.4300401341470117,3.6285667161471222,1.2205178954313045,0.00549782835779867,0.0,0.0,1.6878333058441914,0.12095222387157073,0.07696959700918138
E05013725,80.63346071636764,9.501910745514605,0.5894164129801154,0.0,2.0921044109074423,3.096055444005441,2.1309670315434937,0.0,0.0,0.012954206878683852,1.8071118595763975,0.08420234471144504,0.05181682751473541
E05013726,85.25252525252526,7.04184704184704,0.3102453102453102,0.0,1.9841269841269842,2.337662337662338,1.6955266955266954,0.0,0.0,0.007215007215007215,1.1832611832611832,0.10101010101010101,0.08658008658008658
E05013727,72.92006525285481,12.479608482871129,1.1147362697118,0.027188689505165852,3.616095704187059,4.64926590538336,3.9423599782490486,0.027188689505165852,0.0,0.0,1.1147362697117997,0.08156606851549755,0.027188689505165852
E05013728,76.99311023622046,10.826771653543307,0.7627952755905512,0.0,2.3622047244094486,1.3041338582677167,3.9370078740157486,0.0,0.0,0.11072834645669292,3.4325787401574805,0.22145669291338582,0.04921259842519685
E05013729,87.3549950943614,6.435043573613435,0.5078778784555896,0.0,1.9218560627921744,1.4255208633923933,0.9811277197437527,0.0,0.01731401858371328,0.0,1.2177526403878343,0.06348473480694869,0.07502741386275755
E05013730,82.58044164037855,7.678233438485804,0.7129337539432177,0.0,2.435331230283912,2.9968454258675084,1.4006309148264984,0.0,0.0,0.025236593059936908,2.0757097791798107,0.050473186119873815,0.044164037854889586
E05013731,86.11238307058285,8.131091777327141,0.5625695034997057,0.0,1.3017596650749002,1.2952181592202525,1.2755936416563092,0.00654150585464774,0.0,0.0,1.112055995290116,0.1635376463661935,0.03924903512788644
E05013732,82.1455938697318,9.897828863346106,0.3831417624521073,0.0,2.19029374201788,1.0344827586206897,2.0561941251596423,0.01277139208173691,0.0,0.006385696040868455,2.1392081736909327,0.08301404853128991,0.05108556832694764
