WD22CD_proposed,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,11682,832,1062,1000,677,523,627,874,960,947,798,855,802,593,347,293,206,165,121
E05013715,17154,1129,1039,817,787,773,1625,1874,1700,1424,1269,1120,877,721,530,510,349,308,302
E05013716,18649,1152,958,693,744,1915,2467,2449,2015,1426,1152,1031,756,599,401,327,216,184,164
E05013717,17462,1191,1269,1139,1054,893,999,1179,1337,1461,1242,1216,1280,921,695,556,357,322,351
E05013718,15539,1224,1192,756,546,606,1162,1559,1782,1575,1116,979,868,677,481,353,292,181,190
E05013719,15617,824,866,945,787,1369,1774,1953,1409,1178,977,915,875,639,432,237,215,95,127
E05013720,18224,1161,1414,1557,1176,891,996,1276,1618,1380,1373,1316,1161,839,590,465,358,319,334
E05013721,14506,821,870,775,614,1239,1975,2056,1520,1041,857,752,700,464,235,253,141,97,96
E05013722,16314,1203,1241,1089,656,662,1327,1767,1610,1391,1233,1023,890,659,507,415,265,190,186
E05013723,15717,1133,1070,932,823,712,1014,1241,1481,1306,1096,1041,996,883,581,512,344,275,277
E05013724,20631,1464,1304,1258,1291,1088,1429,1923,2020,1816,1436,1293,1454,992,545,479,304,268,267
E05013725,16700,1087,1007,844,722,1169,1695,1645,1563,1419,1153,1119,960,651,536,386,299,237,208
E05013726,16080,1094,1132,970,708,693,1169,1423,1633,1527,1215,1030,968,701,538,457,325,263,234
E05013727,8043,546,349,298,262,716,1364,1341,926,591,418,372,260,197,161,98,67,40,37
E05013728,9693,584,647,606,589,768,1096,1029,976,774,627,525,494,346,215,133,111,102,71
E05013729,19216,1358,1414,1170,814,872,1291,1861,1938,1693,1516,1291,1169,782,632,529,376,262,248
E05013730,19234,1786,1225,1071,925,912,1493,1864,1902,1689,1349,1300,1263,800,485,358,251,272,289
E05013731,17377,1205,1116,1076,758,802,1276,1489,1682,1574,1252,1224,1046,802,618,532,338,291,296
E05013732,17471,1083,1064,974,679,1334,1877,2242,1526,1309,1162,1044,971,757,526,352,231,174,166
