WD22CD_proposed,Total,0-18,19-65,66+
E05013714,6014,1600,3832,582
E05013715,8658,1837,5776,1045
E05013716,9508,1652,7210,646
E05013717,8954,2141,5563,1250
E05013718,7971,1880,5292,799
E05013719,7764,1578,5661,525
E05013720,9525,2494,5942,1089
E05013721,7130,1527,5160,443
E05013722,7982,1865,5317,800
E05013723,7962,1803,5113,1046
E05013724,10378,2429,6932,1017
E05013725,8486,1767,5823,896
E05013726,7855,1766,5127,962
E05013727,4088,722,3180,186
E05013728,4936,1157,3476,303
E05013729,9732,2194,6505,1033
E05013730,9340,2233,6232,875
E05013731,8828,2021,5699,1108
E05013732,8725,1883,6146,696
